POA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA6012,192,157,353,44,41,85,0,0,0,0,0,0,3,0,3,1236,1161,2397,55,89,145,7,0,8,29,0,31,64,22,81,30,4,33,48,75,125,1705,1549,3256,15,19,35,0,0,0,0,0,0,21,16,33,3,3,7,9,0,11,46,36,86,0,0,0,0,0,0,5,11,9,0,4,8,0,0,0,4,9,17,14,9,27,64,58,130,7,3,4,0,0,3,0,0,0,5,3,12,118,147,263,147,219,365,26,19,38,2068,1998,4059
POA6014,103,88,191,393,315,709,0,3,3,4,0,3,24,10,35,3268,2772,6042,156,303,463,33,0,33,55,7,64,282,64,343,52,19,69,150,137,291,4510,3724,8231,43,57,103,0,0,0,0,0,0,24,19,44,3,6,8,5,9,13,74,91,164,0,0,0,0,0,0,14,15,29,3,15,19,17,3,16,35,30,70,29,15,45,141,136,277,10,13,25,6,0,7,3,0,3,16,15,36,214,342,562,353,631,984,36,44,83,5275,4889,10168
POA6015,10,6,16,60,43,103,0,0,0,0,0,0,4,0,4,1057,822,1880,52,68,120,9,0,7,18,0,19,48,13,61,20,12,33,14,22,36,1293,989,2278,3,5,11,0,0,0,0,0,0,10,6,20,0,0,0,0,0,0,19,10,27,0,0,0,0,0,0,7,11,12,3,0,3,3,0,3,11,11,23,7,7,16,36,27,63,0,0,0,3,0,4,0,0,0,3,3,4,126,145,271,112,160,278,8,18,23,1580,1343,2921
POA6016,122,154,278,150,158,304,0,0,0,0,0,0,13,0,14,1656,1418,3071,70,175,243,15,0,15,20,3,26,160,49,204,36,13,42,73,83,157,2309,2048,4363,48,73,115,0,0,0,0,0,0,3,3,11,0,5,5,3,3,6,52,86,140,0,0,0,0,0,0,6,0,7,3,8,10,3,0,3,8,13,23,26,8,38,87,109,195,13,11,25,0,0,0,0,0,0,17,11,26,88,110,196,185,315,503,17,24,47,2698,2622,5322
POA6017,26,43,67,50,46,96,0,0,0,0,0,0,4,0,9,834,639,1467,51,65,120,10,0,17,17,0,19,26,7,31,18,5,24,32,21,52,1064,831,1893,42,44,84,0,0,0,0,0,0,12,9,17,0,3,3,3,0,8,53,60,114,0,0,0,0,0,0,0,0,4,4,3,3,0,0,0,3,3,9,6,4,14,66,66,135,6,11,18,0,0,0,0,0,0,6,11,18,12,19,40,79,106,184,10,3,16,1229,1049,2284
POA6018,236,223,460,240,162,399,4,0,6,3,3,7,19,12,34,6373,6012,12382,279,447,729,71,3,77,78,3,84,242,50,294,153,59,212,122,154,275,7819,7130,14946,265,205,470,0,0,0,0,0,0,122,111,231,9,14,26,8,3,13,401,341,736,0,0,0,0,0,0,9,11,23,8,7,17,3,0,3,18,25,39,57,39,94,471,399,873,59,47,102,3,0,10,0,0,3,65,47,113,377,494,866,699,1150,1845,89,60,147,9517,9280,18797
POA6019,76,102,178,230,135,369,0,0,4,3,0,4,9,4,16,4095,3879,7976,195,240,436,28,0,28,78,13,98,125,32,159,121,31,150,102,105,204,5060,4556,9623,145,145,285,0,0,0,0,0,0,68,72,141,10,14,19,4,0,4,220,231,448,0,0,0,0,0,0,12,14,23,3,3,10,5,0,8,25,14,42,46,24,73,291,275,566,19,26,44,0,0,0,0,0,5,22,25,49,236,330,563,438,609,1048,58,42,105,6099,5846,11944
POA6020,144,127,268,73,31,100,0,4,3,3,0,3,14,6,15,3614,3192,6809,141,189,331,39,0,35,41,0,43,68,17,91,82,23,105,44,55,103,4263,3647,7904,135,83,218,0,0,0,0,0,0,91,83,179,15,19,31,14,3,15,245,193,439,0,0,0,0,0,0,3,8,10,0,0,0,3,0,3,9,8,18,33,25,56,289,221,511,31,16,41,0,0,0,5,0,5,30,16,49,297,405,703,372,668,1040,35,35,68,5289,4981,10273
POA6021,151,128,277,127,132,261,0,0,0,0,0,0,21,9,22,3563,2927,6485,194,269,466,68,0,68,30,3,41,89,15,104,77,19,100,45,51,91,4367,3556,7922,95,97,199,0,0,0,0,0,0,33,45,77,5,17,21,4,6,13,141,167,309,0,0,0,0,0,0,5,9,14,3,6,9,0,3,7,13,15,28,34,15,49,188,202,389,17,27,47,4,0,4,3,3,4,27,32,55,106,192,295,348,523,867,42,33,77,5079,4528,9604
POA6022,57,45,106,26,4,33,0,0,0,0,0,0,3,0,3,834,769,1599,47,50,99,22,0,22,17,0,16,22,3,24,19,3,22,8,10,18,1056,886,1943,25,22,49,0,0,0,0,0,0,19,13,32,5,6,6,0,0,5,51,37,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,9,53,44,102,9,5,11,0,0,0,0,0,0,4,5,11,35,39,75,104,149,249,16,12,29,1273,1137,2413
POA6023,183,151,338,51,15,67,0,0,0,0,0,0,9,3,6,2499,2254,4751,126,158,282,43,0,43,23,3,30,71,9,76,49,14,69,36,33,71,3091,2642,5731,148,79,231,0,0,0,0,0,0,45,40,86,5,9,16,15,7,22,220,135,350,0,0,0,0,0,0,0,0,6,4,0,5,0,0,0,5,3,11,34,13,49,257,153,405,27,16,46,0,0,0,0,0,0,28,18,51,152,259,413,307,460,768,38,20,59,3877,3553,7427
POA6024,166,183,346,72,15,85,3,0,3,0,0,0,0,5,4,2288,1925,4208,139,113,246,54,0,54,37,0,37,24,3,25,46,8,55,37,40,76,2858,2295,5145,74,70,140,0,0,0,0,0,0,38,45,81,4,10,13,6,3,10,127,126,251,0,0,0,0,0,0,0,0,0,5,3,7,0,0,0,5,3,6,22,7,26,149,145,288,13,30,46,0,0,0,0,0,0,18,30,50,123,143,270,277,434,715,31,39,69,3452,3084,6530
POA6025,214,253,469,149,41,194,4,0,8,0,0,0,9,7,18,5274,4605,9877,258,321,574,149,0,145,65,7,69,86,16,106,141,33,179,93,89,186,6446,5381,11821,221,138,359,0,0,0,0,0,0,139,120,262,13,19,39,11,0,16,383,289,671,0,0,0,0,0,0,3,7,7,3,3,10,4,0,4,10,13,22,54,29,80,450,325,777,44,57,105,3,0,0,3,0,3,48,61,106,284,430,718,670,965,1633,71,56,131,7969,7219,15184
POA6026,312,293,611,82,27,107,0,0,0,0,0,0,12,3,15,3891,3581,7472,171,219,390,84,3,87,30,3,36,58,5,66,92,12,109,57,72,130,4805,4211,9018,151,85,229,0,0,0,0,0,0,85,83,163,15,18,35,25,6,33,272,190,459,0,0,0,0,0,0,7,0,5,4,4,11,3,0,3,12,8,14,35,18,52,311,216,530,34,37,69,0,0,0,0,0,0,34,39,73,182,264,445,515,745,1262,42,31,69,5896,5501,11397
POA6027,457,475,935,249,120,375,0,0,3,3,0,3,19,11,26,7287,6544,13833,440,537,985,171,6,173,115,9,122,86,30,113,213,42,253,198,218,419,9230,7995,17226,230,177,401,0,0,0,0,0,0,158,147,303,23,31,59,31,0,34,443,358,803,0,0,0,0,0,0,4,3,14,3,12,19,4,0,9,13,18,35,111,27,137,565,404,970,65,44,111,3,0,3,4,4,11,69,52,123,318,560,882,954,1289,2238,137,80,219,11277,10383,21658
POA6028,415,311,723,111,42,147,3,0,3,0,0,0,15,5,18,4135,3776,7913,248,288,539,89,0,90,36,0,42,42,8,54,114,18,129,50,49,106,5263,4500,9761,106,45,153,0,0,0,0,0,0,120,103,222,17,20,36,9,3,14,254,173,423,0,0,0,0,0,0,4,4,13,3,8,14,0,0,0,13,14,26,49,22,68,315,200,521,35,33,66,0,0,0,0,0,0,35,33,66,184,336,517,487,741,1228,50,40,93,6332,5852,12184
POA6029,11,11,19,18,4,25,0,0,0,0,0,0,0,4,3,482,411,894,26,33,55,10,0,10,7,0,11,15,6,19,15,6,22,7,6,17,576,484,1064,24,15,34,0,0,0,0,0,0,8,4,16,0,3,3,0,0,0,30,18,55,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,5,3,3,10,37,27,65,0,4,4,0,0,0,0,0,0,3,4,5,57,62,120,55,85,137,7,8,19,731,670,1404
POA6030,436,421,857,267,85,351,0,0,3,3,0,4,15,11,25,6133,5371,11507,518,498,1014,170,3,175,80,9,88,36,14,51,236,50,286,121,118,236,8024,6579,14607,222,206,427,0,0,0,0,0,0,105,126,233,21,29,43,16,4,19,359,366,727,0,0,0,0,0,0,6,7,17,5,11,11,7,3,10,20,25,36,80,26,113,463,420,877,66,69,132,3,0,7,0,0,0,66,67,137,194,426,625,823,1015,1843,112,84,200,9686,8594,18279
POA6031,79,98,180,116,53,170,0,0,0,0,0,0,11,0,13,3013,2640,5654,186,219,402,67,0,67,31,0,33,21,3,26,106,21,127,33,42,75,3665,3087,6750,51,56,109,0,0,0,0,0,0,76,81,152,3,16,16,0,4,3,130,151,286,0,0,0,0,0,0,5,0,4,3,8,17,4,0,8,14,15,22,45,21,74,190,192,380,23,53,76,3,3,9,0,0,3,33,52,82,87,179,268,331,492,828,45,32,74,4349,4033,8383
POA6032,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,34,64,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,6,17,50,40,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,22,0,0,3,0,0,0,62,54,112
POA6033,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,59,44,101,8,3,12,13,0,13,0,0,0,0,0,0,0,0,0,5,3,6,91,49,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,32,15,13,23,3,3,8,122,93,212
POA6034,14,15,33,14,3,14,0,0,0,0,0,0,0,0,0,322,295,617,15,19,34,6,0,6,3,0,3,0,0,0,13,0,12,11,4,15,391,343,735,9,10,21,0,0,0,0,0,0,9,8,17,0,0,3,0,0,0,18,19,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,23,24,50,6,4,7,0,0,0,0,0,0,4,9,10,4,9,11,45,49,92,3,9,12,477,441,916
POA6035,21,31,51,81,13,94,5,0,5,0,0,0,0,0,0,1265,1091,2362,95,107,202,45,0,45,11,0,15,4,5,8,64,16,78,15,27,45,1609,1286,2892,22,21,41,0,0,0,0,0,0,35,37,75,0,6,8,0,0,0,58,62,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,27,76,67,144,15,13,30,0,0,3,0,0,0,17,20,37,37,108,148,210,248,457,35,27,59,1983,1752,3743
POA6036,220,240,460,141,37,175,3,0,3,0,0,0,7,4,12,2298,2106,4398,197,186,386,59,3,62,32,0,30,14,0,16,98,20,118,54,43,100,3131,2644,5774,68,65,134,0,0,0,0,0,0,42,52,94,11,18,33,3,0,3,128,136,267,0,0,0,0,0,0,3,3,3,0,3,3,4,0,3,3,5,13,34,4,37,163,145,312,19,30,46,3,0,4,0,0,0,23,28,52,66,164,229,347,476,825,48,39,87,3779,3498,7276
POA6037,0,4,9,29,4,37,0,0,0,0,0,0,0,0,0,376,298,668,37,23,60,26,3,23,3,0,3,3,0,3,21,3,25,7,6,10,506,343,849,0,0,0,0,0,0,0,0,0,6,13,16,0,3,3,0,0,0,7,13,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,6,8,4,12,20,17,39,3,9,8,0,0,0,0,0,0,3,9,9,16,48,67,81,100,182,21,17,37,641,538,1179
POA6038,92,100,197,51,17,72,0,0,0,0,0,0,0,0,0,1052,967,2021,65,69,133,28,0,28,14,0,11,0,0,4,45,7,59,17,12,28,1368,1179,2545,22,32,55,0,0,0,0,0,0,22,30,50,0,5,4,0,0,3,49,67,114,0,0,0,0,0,0,3,0,3,3,3,3,0,0,0,5,3,8,18,3,20,72,77,147,16,24,37,0,0,0,0,0,0,22,24,45,31,38,63,190,232,421,22,16,39,1694,1565,3263
POA6041,0,3,3,9,0,12,0,0,0,0,0,0,0,0,0,175,140,316,16,18,27,10,0,10,0,0,0,0,0,0,11,0,11,10,3,11,229,166,396,0,0,0,0,0,0,0,0,0,3,3,9,0,3,3,0,0,0,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,8,13,0,0,0,0,0,0,0,0,0,0,0,0,12,16,29,37,39,78,3,6,14,289,239,526
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,13,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,9,26
POA6043,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,14,19,35,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,4,32,19,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,9,18,0,3,5,50,33,80
POA6044,0,0,0,16,3,18,0,0,0,0,0,0,0,0,0,128,106,238,16,45,53,13,3,13,0,0,0,3,0,5,8,4,10,18,14,34,194,178,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,14,41,28,29,59,5,4,9,260,226,485
POA6050,73,68,139,408,391,799,0,0,0,0,0,0,13,7,16,2296,2014,4311,131,215,353,14,0,14,40,7,53,175,68,246,44,25,68,149,180,328,3347,2980,6330,45,69,110,0,0,0,0,0,0,4,5,10,0,4,4,4,4,7,50,82,135,0,0,0,0,0,0,7,10,19,3,11,13,6,4,11,16,24,45,31,5,41,100,114,213,5,4,14,0,0,0,0,0,0,12,8,19,182,233,415,297,467,763,33,24,59,3964,3824,7788
POA6051,289,288,579,238,256,491,0,0,0,0,6,6,18,10,32,2184,1739,3920,92,163,255,21,0,21,40,14,53,156,47,204,70,16,86,84,79,159,3193,2615,5807,67,70,135,0,0,0,0,0,0,12,20,36,7,12,15,9,3,13,94,102,200,0,0,0,0,0,0,9,8,15,0,14,17,7,3,5,15,24,40,29,22,52,140,149,286,16,15,34,3,6,4,0,0,0,19,24,40,109,122,234,279,370,646,31,20,60,3774,3286,7064
POA6052,38,25,60,300,349,648,0,0,0,0,0,0,7,8,13,1782,1581,3361,112,161,269,23,0,22,25,4,32,92,25,117,53,15,68,54,39,95,2473,2207,4687,32,37,70,0,0,0,0,0,0,4,11,10,3,3,3,3,0,3,41,50,92,0,0,0,0,0,0,10,10,18,6,14,22,4,3,9,19,30,51,22,9,35,82,89,174,3,3,9,3,4,11,5,0,5,13,7,20,98,133,228,227,353,585,21,20,40,2912,2815,5722
POA6053,271,308,578,135,147,283,3,0,4,0,0,0,9,6,13,2313,2060,4370,148,198,343,39,0,43,47,7,53,164,44,208,60,16,78,68,49,118,3253,2842,6091,57,47,101,0,0,0,0,0,0,19,28,48,0,13,13,5,3,7,83,91,174,0,0,0,0,0,0,7,4,16,3,3,5,3,0,3,9,7,21,30,18,49,126,120,239,10,14,25,0,0,3,0,0,0,16,17,33,108,141,245,295,440,736,46,24,68,3839,3578,7420
POA6054,273,310,580,122,86,203,3,0,3,3,0,3,7,8,17,3242,2713,5961,163,265,429,65,4,71,55,6,63,111,30,143,63,23,80,74,73,146,4180,3516,7696,62,91,158,0,0,0,0,0,0,36,53,91,17,17,30,6,0,8,120,165,286,0,0,0,0,0,0,9,6,17,4,8,10,4,0,4,13,17,31,42,11,49,175,191,367,14,16,39,0,0,0,4,0,4,20,16,43,122,190,315,386,586,966,45,49,96,4931,4553,9481
POA6055,125,175,299,142,84,229,3,0,3,0,0,0,20,12,33,3958,3158,7120,216,262,474,104,0,103,48,3,53,38,13,50,109,29,137,84,64,144,4846,3804,8646,64,70,136,0,0,0,0,0,0,69,76,142,9,8,19,3,0,4,138,161,300,0,0,0,0,0,0,14,20,25,0,4,6,3,3,7,19,25,39,52,16,67,209,198,412,15,26,34,4,3,4,0,0,3,17,28,42,140,243,386,422,622,1043,59,52,113,5702,4938,10641
